inci_name,korean_name,synonyms_ko,function_ko,concerns_ko,regulatory_class,wow_moment,verified,notes
Salicylic Acid,살리실릭애씨드,살리실산;BHA;유기각질제거,각질제거,여드름;블랙헤드;피지;각질,일반,Y,N,화장품 0.5% 이내 / 의약외품 별도
Glycolic Acid,글라이콜릭애씨드,글리콜산;AHA,각질제거,각질;칙칙함;모공,일반,Y,N,
Lactic Acid,락틱애씨드,젖산;AHA,각질제거,각질;건조각질,일반,N,N,
Mandelic Acid,만델릭애씨드,만델릭산;PHA,각질제거,각질;민감성,일반,N,N,
Citric Acid,시트릭애씨드,구연산;시트르산,각질제거,각질;pH조절,일반,N,N,주로 pH조절제
Melaleuca Alternifolia Leaf Oil,티트리잎오일,티트리오일;티트리,진정,여드름;피지;염증,일반,Y,N,
Propolis Extract,프로폴리스추출물,프로폴리스;꿀벌추출물,진정,여드름;진정;항균,일반,Y,N,
Zinc PCA,징크피씨에이,징크피씨에이;징크PCA,각질제거,여드름;피지;모공,일반,N,N,
Titanium Dioxide,티타늄디옥사이드,티타늄디옥사이드;무기자차;물리적자외선차단,자외선차단,자외선;UVA;UVB;민감성,자외선차단성분,Y,N,무기자차 - 민감성 시연 포인트
Zinc Oxide,징크옥사이드,징크옥사이드;산화아연;무기자차,자외선차단,자외선;UVA;UVB;민감성,자외선차단성분,Y,N,무기자차 - 임산부/아기 친화
Ethylhexyl Methoxycinnamate,에칠헥실메톡시신나메이트,에칠헥실메톡시신나메이트;옥티노세이트;유기자차,자외선차단,자외선;UVB,자외선차단성분,N,N,유기자차
Butyl Methoxydibenzoylmethane,부틸메톡시디벤조일메탄,부틸메톡시디벤조일메탄;아보벤존,자외선차단,자외선;UVA,자외선차단성분,N,N,UVA 차단 핵심
Octocrylene,옥토크릴렌,옥토크릴렌,자외선차단,자외선;UVB,자외선차단성분,N,N,
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,비스-에칠헥실옥시페놀메톡시페닐트리아진,티노솔에스;Tinosorb S,자외선차단,자외선;UVA;UVB,자외선차단성분,N,N,상품명 티노솔 S
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,티노솔엠;Tinosorb M,자외선차단,자외선;UVA;UVB,자외선차단성분,N,N,상품명 티노솔 M
Diethylamino Hydroxybenzoyl Hexyl Benzoate,디에칠아미노하이드록시벤조일헥실벤조에이트,유비눌에이플러스;Uvinul A Plus,자외선차단,자외선;UVA,자외선차단성분,N,N,
Tocopherol,토코페롤,토코페롤;비타민E,항산화,주름;광노화,일반,N,N,
Tocopheryl Acetate,토코페릴아세테이트,토코페릴아세테이트;비타민E유도체,항산화,주름;광노화,일반,N,N,
Resveratrol,레스베라트롤,레스베라트롤,항산화,주름;광노화,일반,N,N,
Ferulic Acid,페룰릭애씨드,페룰릭애씨드;페룰산,항산화,광노화;칙칙함,일반,N,N,비타민C와 시너지
Astaxanthin,아스타잔틴,아스타잔틴,항산화,광노화;주름,일반,N,N,
Dimethicone,디메치콘,디메치콘;실리콘,기타,,일반,N,N,실리콘 - 결베이스 / 일부 트러블 우려 표기
Cetearyl Alcohol,세테아릴알코올,세테아릴알코올,기타,,일반,N,N,유화제 - 알코올과 무관
Phenoxyethanol,페녹시에탄올,페녹시에탄올,방부,,일반,N,N,대표 방부제
Disodium EDTA,디소듐이디티에이,디소듐EDTA,방부,,일반,N,N,킬레이트제
Fragrance,향료,향료;인공향료;파퓸,기타,향민감성;알레르기,일반,N,N,향료 알레르기 검색 시노님 중요
Polysorbate 60,폴리소르베이트60,폴리소르베이트60,기타,,일반,N,N,유화제
Sodium Lauroyl Sarcosinate,소듐라우로일사르코시네이트,소듐라우로일사르코시네이트,세정,,일반,N,N,저자극 세정
Coco-Glucoside,코코글루코사이드,코코글루코사이드;식물성계면활성제,세정,민감성,일반,Y,N,저자극 시연 포인트
Sodium Lauryl Sulfate,소듐라우릴설페이트,SLS;소듐라우릴설페이트,세정,민감성;자극,일반,N,N,SLS 회피 시연 포인트 - 부정 시노님
Cocamidopropyl Betaine,코카미도프로필베타인,코카미도프로필베타인,세정,,일반,N,N,
Caffeine,카페인,카페인,기타,눈가;붓기,일반,N,N,눈가 제품
Hydrolyzed Collagen,하이드롤라이즈드콜라겐,콜라겐;가수분해콜라겐,보습,주름;탄력,일반,N,N,
Royal Jelly Extract,로얄젤리추출물,로얄젤리;꿀벌유래,보습,영양;재생,일반,N,N,
Ginseng Root Extract,인삼뿌리추출물,인삼;홍삼추출물,항산화,주름;탄력,일반,Y,N,한국 토종 식물
Rice Extract,쌀추출물,쌀추출물;쌀뜨물,미백,칙칙함;광채,일반,Y,N,K-beauty 시그니처
